Blue,Blue,Green,Green,Red,Red
X,Y,X,Y,X,Y
370.3457446808511,0.8661971830985915,380.27400183871816,0.5492360024343581,389.8934118071973,0.34207094418361894
398.93617021276594,1.9859154929577465,397.90958678092994,1.204692662145713,396.947645784082,0.5696128934098406
405.5851063829787,2.091549295774648,402.7192917651695,1.245446444096678,400.15411577357503,0.617158972352633
412.8989361702128,2.119718309859155,412.6593487325979,1.1979003651538855,407.5289967494091,0.5730090419057543
421.5425531914894,2.091549295774648,440.234990642238,0.929604633976699,419.39293571053327,0.420182359589635
430.8510638297872,2.091549295774648,452.0989296033623,0.9262084854807848,425.8058756895193,0.29452486524082655
440.8244680851064,2.1549295774647885,460.4357515760442,0.9160200399930436,436.70787365379573,0.15528277690836223
449.468085106383,2.1267605633802815,468.1312795508275,0.9228123369848711,446.3272836222748,0.039813728047294994
457.44680851063833,2.140845070422535,482.23974750459683,1.2284657016171092,459.47381057919625,0.002456094592242941
460.7712765957447,2.1971830985915495,490.25592247832947,1.4729883933228995,485.7668644930392,0.019436837071811652
469.4148936170213,2.352112676056338,499.23403844891,1.656380412102242,499.23403844891,0.18924426186750054
466.09042553191495,2.3098591549295775,508.53280141843976,1.7378879760041728,513.0218594037301,0.328486350199964
474.7340425531915,2.2816901408450705,517.8315643879696,1.8397724308815855,529.6955033490938,0.4575399930446862
476.72872340425533,2.211267605633803,526.1683863606515,1.9654299252303944,547.0104412923563,0.589989784385323
480.0531914893617,2.084507042253521,535.146502331232,2.1114643105546858,560.477615248227,0.7665895061728385
481.3829787234043,1.9507042253521125,541.2387953112689,2.2031603199443572,570.4176722156554,0.8820585550339062
482.04787234042556,1.8098591549295775,548.9343232860521,2.2303295079116667,579.3957881862359,1.1265812467396965
484.70744680851067,1.704225352112676,560.1569682492777,2.1827834289688743,588.3739041568165,1.3609154929577456
485.37234042553195,1.514084507042253,565.6079672314158,2.0435413406364105,603.1236661084845,1.557892105720743
486.7021276595745,1.366197183098591,572.3415542093512,1.873733915840723,623.3244270422906,1.8092070944183614
488.69680851063833,1.0985915492957745,579.3957881862359,1.598645887671709,633.264484009719,1.9348645887671707
495.3457446808511,0.697183098591549,584.5261401694248,1.2216734046252817,645.1284229708433,2.148821944009737
503.98936170212767,0.22535211267605604,588.3739041568165,0.9092277430012161,650.9000689519307,2.2099526169361847
510.63829787234044,0,590.9390801484109,0.7258357242218736,657.9543029288154,2.1963680229525293
340.4255319148936,8.881784197001252e-16,592.5423151431573,0.5118783689793069,664.6878899067508,2.0265605981568418
,,597.3520201273969,0.2333941923143792,667.2530658983452,1.8295839853938438
,,599.2759021210928,-0.007732350895497397,672.0627708825848,1.5612882542166568
,,,,679.4376518584188,1.2148811076334542
,,,,683.926709843709,1.0348852373500255
,,,,688.0951208300501,0.9160200399930436
,,,,689.6983558247966,0.7903625456442347
